"Въпрос";"Отговор"
"Какво означава, че данните са устойчиви?";"Лекция 8: Съществуват независимо дали с тях работи някакво приложение или не"
"Защо данните не могат да се съхраняват изцяло в оперативната памет?";"Лекция 8: Поради нейната енергозависимост и ограничен обем"
"Къде обработва и къде съхранява данните СУБД?";"Лекция 8: Обработва ги в оперативната памет, а ги съхранява на външна памет"
"Какви са примерите за СУБД, при които базата се разполага изцяло в оперативната памет?";"Лекция 8: HANA на SAP и TimesTen на Oracle"
"Какво е 'Проектиране на физическата база'?";"Лекция 8: Избор на най-подходящите за дадено приложение методи за организация на данните"
"Кога се извършва проектирането на физическата база?";"Лекция 8: След проектирането на схемата"
"Какво обхваща проектирането на физическата база?";"Лекция 8: Определяне на пътища за ефективен достъп, задаване на системни параметри като размер на блока, буферите, протокол за възстановяване"
"Какво налага внимателно проектиране на физическата база?";"Лекция 8: Бързото нарастване на структурираните (релационни), полуструктурираните (XML) и неструктурирани (аудио и видео) данни"
"Какви са основните стъпки при проектирането на база от данни?";"Лекция 8: 1) Анализ на изискванията 2) Проектиране на логическата база 3) Проектиране на физическата база 4) Реализация, мониторинг и настройване"
"Какво представлява физическата база от данни?";"Лекция 8: Множество от взаимно-свързани записи от различен тип, групирани във файлове"
"Какво е запис?";"Лекция 8: Съвкупност от свързани полета с данни, които описват обектите с техните атрибути и връзки"
"Какво образува формата на записа?";"Лекция 8: Множеството от имената на полетата заедно със съответстващия им тип"
"Какво съдържа записът освен специфичните данни?";"Лекция 8: Указатели и служебна информация, необходима за идентифицирането и обработването му от СУБД"
"От какво зависи ефективен ли е достъпът до записите?";"Лекция 8: От разположението на записите върху диска"
"Какво отразява логическият аспект на данните?";"Лекция 8: Естеството на данните, независимо от физическите подробности на съхраняването и представянето им"
"Какво изразява физическият аспект на данните?";"Лекция 8: Начина на съхраняването и представянето им върху определен носител"
"Какво е логически запис?";"Лекция 8: Множеството от данни, което представлява едно цяло за потребителя - съвкупността от полетата на записа"
"Какво е физически запис?";"Лекция 8: Единицата информация, която реално се чете от едно устройство или се записва на него - синоними: блок или страница"
"Какво е най-малкият обем данни при обработка?";"Лекция 8: Физически запис - предаван между паметта и диска"
"Какви видове файлове има според блокуването?";"Лекция 8: 1) С неблокувани записи (физически запис = логически) 2) С блокувани записи (физически запис = няколко логически записа)"
"Какви видове записи има според дължината?";"Лекция 8: С постоянна (фиксирана) дължина и с променлива дължина"
"Как може да се съхранява физически файлът на диска?";"Лекция 8: В последователни блокове, свързани чрез указатели блокове или клъстери"
"Какво са файлове на базата?";"Лекция 8: Множества от еднотипни записи с постоянна или променлива дължина"
"Какво е блоков фактор?";"Лекция 8: Числото bfr = [B/R], където B е размерът на блока, а R - дължина на записа"
"Какво представляват клъстерите?";"Лекция 8: Комбинация от последователно и чрез указатели съхранение"
"Какво съдържа челният блок (хедър) на файла?";"Лекция 8: Информация за адресите на блоковете и формата на записа (дължина на полетата, наредба, начин на запис в блока)"
"Какви видове операции върху файлове има от гледна точка на базите?";"Лекция 8: 1) От тип 'търсене' - не променят данните 2) От тип 'обновяване' - променят съдържанието"
"Какво правят операциите от тип 'търсене'?";"Лекция 8: Намират определени записи, така че техните полета да се изследват и съдържанието им да се извежда"
"Какво правят операциите от тип 'обновяване'?";"Лекция 8: Променят съдържанието на файла - въвеждане, изтриване или модификация"
"Какво е критерий за търсене?";"Лекция 8: Определя условията, които записите трябва да удовлетворяват"
"Какво може да съдържа условие за избор от общ вид?";"Лекция 8: Булев израз - отделните изрази могат да бъдат свързани с and, or, not"
"Какво е файлова система?";"Лекция 8: Елемент от операционна система, която осигурява управление на файловете, контролиран достъп по име, многопотребителска работа"
"Какво могат да намират повечето файлови системи?";"Лекция 8: Запис, само ако критерият за търсене е просто условие"
"Как се разлага сложното условие за избор?";"Лекция 8: От СУБД на прости подусловия, които се използват за намиране на нужните записи"
"Какво се нарича 'текущ' запис?";"Лекция 8: Последният намерен запис"
"Какви видове операции върху файлове съществуват?";"Лекция 8: 1) Работещи с файл като логическа единица (open, close, create, copy, rename, delete, type) 2) Работещи със записите (read, write, update, insert, delete)"
"Какво прави командата Open?";"Лекция 8: Подготвя файла за четене или запис; запазва поне два буфера; намира челния блок и установява указателя към началото"
"Какво прави командата Reset?";"Лекция 8: Установява указателя на отворен файл към началото му"
"Какво прави командата Find (Locate)?";"Лекция 8: Намира първия запис, който удовлетворява условието; прехвърля при необходимост блока в буфер и го прави текущ запис"
"Какво прави командата Read (Get)?";"Лекция 8: Копира текущия запис от буфера в програмни променливи"
"Какво прави командата FindNext?";"Лекция 8: Намира следващия запис, който удовлетворява условието; прехвърля при необходимост блока в буфер и го прави текущ запис"
"Какво прави командата Delete?";"Лекция 8: Изтрива текущия запис"
"Какво прави командата Modify?";"Лекция 8: Актуализира съдържанието на някои от полетата в записа"
"Какво прави командата Insert?";"Лекция 8: Вмъква нов запис във файла"
"Какво прави командата Close?";"Лекция 8: Прекратява достъпа до файла чрез освобождаване на буферите и извършване на необходимите почистващи операции"
"Какво е файлова организация?";"Лекция 8: Физическата организация на данните от файла в записи, блокове и структури за достъп; начина, по който записите са разпределени и свързани"
"Какви са трите основни типа файлови организации?";"Лекция 8: 1) Неструктуриран файл (heap, sequential) 2) Подреден файл (ordered) 3) Директен файл (hash)"
"Какво е метод за достъп?";"Лекция 8: Множество от програми, които позволяват прилагането на операции към даден файл"
"От какво се състои методът за достъп?";"Лекция 8: 1) Структура от данни - определя начина на съхранение 2) Механизъм за търсене - определя пътя за достигане до записите"
"Какво определя методът за достъп?";"Лекция 8: Как се съхраняват и намират записите от файл с определена файлова структура"
"Какви са командите за обработка на базата?";"Лекция 8: 1) Извличане на всички записи (последователен достъп) 2) Избор на един запис (директен достъп) 3) Избор на група записи (достъп с булева заявка)"
"Какво е неструктуриран (последователен) файл?";"Лекция 8: Записите се поместват така както са въведени физически; нови записи се добавят в края"
"Кога се използва неструктуриран файл?";"Лекция 8: Когато данните се натрупват първоначално и не е ясно какви обработки ще се изискват"
"Какво е предимството на неструктурирания файл?";"Лекция 8: Добавянето на нов запис е изключително ефективно"
"Какъв е недостатъкът на неструктурирания файл?";"Лекция 8: Търсенето на определен запис е бавно - последователно търсене на всички записи (линейно)"
"Как става изтриването в неструктуриран файл?";"Лекция 8: Записът се отбележи за изтрит или се изтрие физически; налага периодична реорганизация от АБД"
"Какво е подреден (сортиран) файл?";"Лекция 8: Записи с еднаква дължина физически подредени по стойностите на едно или няколко сортиращи полета"
"Какво е предимството на подредения файл?";"Лекция 8: Търсенето на записи става бързо; може да се провежда двоично търсене"
"Какъв е недостатъкът на подредения файл?";"Лекция 8: Въвеждането и изтриването на записи е трудно поради спазване на наложения ред"
"Защо сортираните файлове не се използват често при бази от данни?";"Лекция 8: Заема се допълнително място на диска и има опасност от получаване на противоречива база"
"Какво е директен файл?";"Лекция 8: Местоположението на записите се изчислява с помощта на хеш-функция"
"Какво е клетка на хеш-таблицата?";"Лекция 8: Физически адрес на блок, където хеш-функцията трансформира стойността на поле"
"Какво е хеш поле?";"Лекция 8: Поле с уникални стойности, върху което се прилага хеш-функция"
"Какво е колизия при хеширане?";"Лекция 8: Опит да се въведе запис в заета клетка на хеш-таблицата"
